Local Authority,Roll Number,Official School Name,Address 1,Address 2,Address 3,Address 4,Phone,Principal Name,Ethos/Religion,School Gender - Post Primary,Irish Classification - Post Primary,Female Enrolment,Male Enrolment,Total Enrolment
Donegal County Council,91409A,Pobalscoil Ghaoth Dobhair,Doirí Beaga,Leitir Ceannain,Tir Chonaill,,0749531311,UAS. NOEL O GALLCHOIR,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,138,158,296
Donegal County Council,91500J,Loreto Community School,Milford,Co Donegal,,,0749153399,MR. ANDREW KELLY,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,365,391,756
Donegal County Council,91506V,Coláiste Cholmcille,College St,Ballyshannon,Co Donegal,,0719858288,MR. JAMES KEOGH,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,303,355,658
Dublin City Council,60290B,St Pauls College,Sybil Hill,Raheny,Dublin 5,,018314011,MR. KIERAN MCCORMACK,CATHOLIC,Boys,No subjects taught through Irish,,553,553
Dublin City Council,60291D,Árdscoil La Salle,Raheny Road,Raheny,Dublin 5,,018480055,MR. G LYNCH,CATHOLIC,Mixed,No subjects taught through Irish,119,208,327
Dublin City Council,60300B,Manor House School,Watermill Road,Raheny,Dublin 5,,018316782,MISS MARY T O'NEILL,CATHOLIC,Girls,No subjects taught through Irish,783,,783
Dublin City Council,60390F,St Josephs C.B.S.,Merville Ave,Fairview,Dublin 3,,018339779,MR. GERARD CULLEN,CATHOLIC,Mixed,No subjects taught through Irish,4,290,294
Dublin City Council,60400F,St Vincents C.B.S. Glasnevin,Glasnevin,Dublin 11,,,018304375,MR. JOHN G HORAN,CATHOLIC,Boys,No subjects taught through Irish,,358,358
Dublin City Council,60410I,C.B.S. James Street,James's Street,Dublin 8,,,014547756,Mr John Devilly,CATHOLIC,Boys,No subjects taught through Irish,,231,231
Dublin City Council,60420L,Árdscoil Rís,Griffith Avenue,Dublin 9,,,018332633,MR. BRIAN O'DWYER,CATHOLIC,Boys,No subjects taught through Irish,,517,517
Dublin City Council,60430O,St Pauls C.B.S.,Christian Brothers,Nth Brunswick Street,Dublin 7,,018720781,MR. MICHAEL G BLANCHFIELD,CATHOLIC,Boys,No subjects taught through Irish,,248,248
Dublin City Council,60440R,O'Connell School,North Richmond Street,Dublin 1,,,018748307,MR. GERARD DUFFY,CATHOLIC,Mixed,No subjects taught through Irish,30,310,340
Dublin City Council,60450U,Coláiste Mhuire,Bothar Rath Tó,Baile Atha Cliath 7,,,018688996,UAS. TOMAS O'MURCHU,CATHOLIC,Mixed,All pupils taught all subjects through Irish,89,105,194
Dublin City Council,60470D,"Christian Brothers, Synge St.","Synge St.,",Dublin 8.,,,014783998,MR. MICHAEL J MINNOCK,CATHOLIC,Boys,No subjects taught through Irish,,276,276
Dublin City Council,60471F,St. David's C.B.S.,Malahide Road,Artane,Dublin 5,,018315322,MR. PADRAIC KAVANAGH,CATHOLIC,Boys,No subjects taught through Irish,,439,439
Dublin City Council,60480G,Meanscoil Iognáid Rís,Long Mile Road,Walkinstown,Dublin 12,,014518316,MR. RAYMOND WALSH,CATHOLIC,Boys,No subjects taught through Irish,,680,680
Dublin City Council,60481I,St. Aidan's C.B.S.,Collins Avenue Ext,Whitehall,Dublin 9,,018377587,MR. BRENDAN HARRINGTON,CATHOLIC,Boys,No subjects taught through Irish,,650,650
Dublin City Council,60490J,C.B.S. Westland Row,Westland Row,Dublin 2,,,016614143,MS. KATE BYRNE,CATHOLIC,Mixed,No subjects taught through Irish,60,70,130
Dublin City Council,60491L,St Declan's College,Nephin Road,Cabra,Dublin 7,,018380357,MRS. MIRIAM MURPHY,CATHOLIC,Boys,No subjects taught through Irish,,634,634
Dublin City Council,60500J,Marian College,Ballsbridge,Dublin 4,,,016684036,MR. PAUL P MEANY,CATHOLIC,Mixed,No subjects taught through Irish,11,441,452
Dublin City Council,60510M,St Johns College De La Salle,Le Fanu Rd,Ballyfermot,Dublin 10,,016264943,MS. ANN MARIE LEONARD,CATHOLIC,Boys,No subjects taught through Irish,,407,407
Dublin City Council,60511O,Beneavin De La Salle College,Beneavin Road,Finglas,Dublin 11,,018341410,MS. AIDEEN CASSIDY,CATHOLIC,Boys,No subjects taught through Irish,,486,486
Dublin City Council,60520P,Belvedere College S.J,6 Great Denmark Street,Dublin 1,,,018586600,MR. GERRY FOLEY,CATHOLIC,Boys,No subjects taught through Irish,,1003,1003
Dublin City Council,60530S,Gonzaga College,Sandford Road,Ranelagh,Dublin 6,,014972931,MR. KEVIN WHIRDY,CATHOLIC,Boys,No subjects taught through Irish,,541,541
Dublin City Council,60540V,Catholic University School,89 Lower Leeson Street,Dublin 2,,,016762586,FR. MARTIN DALY,CATHOLIC,Boys,No subjects taught through Irish,,444,444
Dublin City Council,60550B,Chanel College,Coolock Village,Malahide Road,Dublin 5,,018480655,MR. DECLAN MOWLDS,CATHOLIC,Boys,No subjects taught through Irish,,556,556
Dublin City Council,60560E,St Marys College,Rathmines,Dublin 6,,,014995700,MR. CLIVE BYRNE,CATHOLIC,Boys,No subjects taught through Irish,,434,434
Dublin City Council,60570H,Terenure College,Templeogue Road,Terenure,Dublin 6w,,014904621,FR. EANNA RISTEARD O HOBAIN,CATHOLIC,Boys,No subjects taught through Irish,,697,697
Dublin City Council,60571J,Patrician College,Deanstown Ave,Finglas West,Dublin 11,,018343067,Mr Michael Stacey,CATHOLIC,Boys,No subjects taught through Irish,,189,189
Dublin City Council,60581M,St Kevins College,Ballygall Rd East,Finglas,Dublin 11,,018371423,MR. CIARAN FRANCIS O'HARE,CATHOLIC,Boys,No subjects taught through Irish,,466,466
Dublin City Council,60590N,St Conleths College,28 Clyde Road,Ballsbridge,Dublin 4,,016680022,MR. PETER GALLAGHER,CATHOLIC,Mixed,No subjects taught through Irish,27,240,267
Dublin City Council,60640C,Sandford Park School Ltd,Sandford Road,Ranelagh,Dublin 6,,014971417,MISS EDITH ANN MARIE BYRNE,CHURCH OF IRELAND,Boys,No subjects taught through Irish,,216,216
Dublin City Council,60660I,St Patricks Cathedral G.S,St Patricks Close,Dublin 8,,,014543388,MRS. SYLVIA HICK,CHURCH OF IRELAND,Mixed,No subjects taught through Irish,48,84,132
Dublin City Council,60670L,The High School,Zion Road,Rathgar,Dublin 6,,014922611,MR. ANDREW FORREST,CHURCH OF IRELAND,Mixed,No subjects taught through Irish,355,437,792
Dublin City Council,60690R,Dominican College,Griffith Ave,Drumcondra,Dublin 9,,018376080,MISS CLAIRE BUTLER,CATHOLIC,Girls,No subjects taught through Irish,704,,704
Dublin City Council,60700R,Scoil Chaitriona,Bóthar Mobhí,Glasnaíon,Ath Cliath 9,,018370762,MS. MARY CAITRIONA NI LAIGHIN,CATHOLIC,Mixed,All pupils taught all subjects through Irish,241,199,440
Dublin City Council,60710U,"Dominican College, Muckross Park",Donnybrook,Dublin 4,,,014914033,MRS. CAROLINE LUNDY,CATHOLIC,Girls,No subjects taught through Irish,688,,688
Dublin City Council,60720A,Saint Dominic's Secondary School,Kylemore Road,Ballyfermot,Dublin 10,,016266493,MISS MARY GALLEN,CATHOLIC,Girls,No subjects taught through Irish,374,,374
Dublin City Council,60731F,St Dominics College,Cabra,Dublin 7,,,018385282,MISS MARY KEANE,CATHOLIC,Girls,No subjects taught through Irish,887,,887
Dublin City Council,60732H,Caritas College,Drumfinn Road,Dublin 10,,,016265927,MISS ADRIENNE WHELAN,CATHOLIC,Girls,No subjects taught through Irish,288,,288
Dublin City Council,60741I,St Michaels Secondary School,Wellmount Road,Finglas,Dublin 11,,018341767,MR. JOHN B BARRY,CATHOLIC,Girls,No subjects taught through Irish,547,,547
Dublin City Council,60750J,Holy Faith Secondary School,1 Belgrove Road,Clontarf,Dublin 3,,018331507,MISS DEIRDRE GOGARTY,CATHOLIC,Girls,No subjects taught through Irish,632,,632
Dublin City Council,60770P,St Mary's Secondary School,Holy Faith Convent,Glasnevin,Dublin 11,,018374413,MS. MARGARET LENNON,CATHOLIC,Girls,No subjects taught through Irish,724,,724
Dublin City Council,60791A,St Marys Secondary School,Brookwood Meadow,Killester,Dublin 5,,018310963,MS. RITA MCCABE,CATHOLIC,Girls,No subjects taught through Irish,435,,435
Dublin City Council,60792C,Presentation College,Warrenmount,Dublin 8,,,014547520,MS. GWENDOLEN BRENNAN,CATHOLIC,Girls,No subjects taught through Irish,315,,315
Dublin City Council,60800V,Loreto College,Crumlin Road,Dublin 12,,,014542380,MRS. BLATHNAIDH COLHOUN,CATHOLIC,Girls,No subjects taught through Irish,465,,465
Dublin City Council,60820E,Loreto College,53 St Stephens Green,Dublin 2,,,016618179,MISS TRIONA BARRETT,CATHOLIC,Girls,No subjects taught through Irish,562,,562
Dublin City Council,60840K,Maryfield College,Glandore Road,Drumcondra,Dublin 9,,018373574,MS. MAREE O ROURKE,CATHOLIC,Girls,No subjects taught through Irish,627,,627
Dublin City Council,60841M,Rosary College,Armagh Road,Crumlin,Dublin 12,,014555824,MR. BRIAN MAHER,CATHOLIC,Mixed,No subjects taught through Irish,80,103,183
Dublin City Council,60843Q,St Josephs Secondary School,Stanhope St,Dublin 7,,,016710419,MR. THOMAS COYLE,CATHOLIC,Girls,No subjects taught through Irish,280,,280
Dublin City Council,60851P,Assumption Secondary School,Walkinstown,Dublin 12,,,014507017,MS. JUSTINE HUGHES,CATHOLIC,Girls,No subjects taught through Irish,347,,347
Dublin City Council,60853T,Mount Carmel Secondary School,Kings Inn Street,Dublin 1,,,018730958,MR. GERARD CULLEN,CATHOLIC,Girls,No subjects taught through Irish,319,,319
Dublin City Council,60870T,Our Lady Of Mercy College,Beaumont,Dublin 9,,,018371478,MS. ROSEMARY LYNCH,CATHOLIC,Girls,No subjects taught through Irish,333,,333
Dublin City Council,60871V,Mercy College Coolock,St Brendans Drive,Coolock,Dublin 5,,018480888,MS. PATRICIA DWYER,CATHOLIC,Girls,No subjects taught through Irish,409,,409
Dublin City Council,60872A,Mercy Secondary School,Goldenbridge,Inchicore,Dublin 8,,014531262,MS. TREASA LEAHY,CATHOLIC,Girls,No subjects taught through Irish,180,,180
Dublin City Council,60890C,St Louis High School,Charleville Road,Rathmines,Dublin 6,,014975458,EILIS HUMPHREYS,CATHOLIC,Girls,No subjects taught through Irish,635,,635
Dublin City Council,60892G,The Teresian School,12 Stillorgan Road,Donnybrook,Dublin 4,,012691376,MISS NATUCA CORDON,CATHOLIC,Girls,No subjects taught through Irish,227,,227
Dublin City Council,60910F,Alexandra College,Milltown,Dublin 6,,,014977571,MRS. BARBARA ENNIS,CHURCH OF IRELAND,Girls,No subjects taught through Irish,526,,526
Dublin City Council,60990G,Meanscoil Chroimghlinne,314/318 Crumlin Road,Crumlin,Dublin 12,,014553020,MS. ETAIN O'MOORE,CATHOLIC,Mixed,No subjects taught through Irish,44,64,108
Dublin City Council,60991I,Our Lady Of Mercy Secondary School,Mourne Road,Drimnagh,Dublin 12,,014554691,MISS MARGARET MAHER,CATHOLIC,Mixed,No subjects taught through Irish,153,150,303
Dublin City Council,61020A,Stratford College,1 Zion Road,Rathgar,Dublin 6,,014922315,MS. P. GORDON,JEWISH,Mixed,No subjects taught through Irish,50,50,100
Dublin City Council,68071G,John Scottus Secondary School,72/76 Morehampton Rd,Donnybrook,Dublin 4,,016680828,DR. MICHAEL TELFORD,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,61,62,123
Dublin City Council,70020B,Grange Community College,Grange Road,Donaghmede,Dublin 13,,018471422,Mr. Frank Costello,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,161,111,272
Dublin City Council,70150O,Coláiste Éanna,Kilkieran Road,Cabra,Dublin 7,,018389577,Alfred J.Bryan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,64,82,146
Dublin City Council,70160R,St. Kevins College,Clogher Road,Crumlin,Dublin 12,,014536397,Mr Blake Hodkinson,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,128,262,390
Dublin City Council,70170U,Crumlin College Of Further Education,Crumlin Road,Crumlin,Dublin 12,,014540662,Ms. Jacqui O'Sullivan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,436,246,682
Dublin City Council,70180A,Coláiste Eoin,Cappagh Road,Finglas West,Dublin 11,,018341426,Bernadette Hand,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,44,120,164
Dublin City Council,70190D,Colaiste Ide College of Further Education,Cardiffsbridge Road,Finglas West,Dublin11,,018342333,Malachy Buckeridge,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,320,482,802
Dublin City Council,70200D,Technical Institute,Cambridge Road,Ringsend,Dublin 4,,016684498,Mr Donnchadh Clancy,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,81,85,166
Dublin City Council,70220J,Inchicore College of Further Education,Emmet Road,Inchicore,Dublin 8,,014535358,Mr Michael Challoner,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,491,345,836
Dublin City Council,70230M,Killester College of Further Education,Collins Avenue,Killester,Dublin 5,Dublin,018337686,Mr. Rory O'Sullivan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,208,161,369
Dublin City Council,70240P,Kylemore College,Kylemore Road,Ballyfermot,Dublin 10,,016265901,Declan MacDaid,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,74,288,362
Dublin City Council,70250S,Marino College,14-20 Marino Mart,Fairview,Dublin 3,,018332100,Mr. James Martin,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,524,202,726
Dublin City Council,70290H,Ballsbridge College of Further Education,Shelbourne Road,Ballsbridge,Dublin 4,,016684806,Mr. Daniel Bradley,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,213,223,436
Dublin City Council,70300H,Pearse College - Colaiste an Phiarsaigh,Clogher Road,Crumlin,Dublin 12,,014536661,Jacqueline Nunan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,270,501,771
Dublin City Council,70310K,Plunket College,Swords Road,Whitehall,Dublin 9,,018371689,Orla Kehily,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,166,343,509
Dublin City Council,70320N,Whitehall House Senior College,Swords Road,Dublin 9,,,018376011,Ann O'Reilly,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,297,274,571
Dublin City Council,70321P,Margaret Aylward Community College,The Thatch Road,Whitehall,Dublin 9,,018375712,Ms. Mary Friel,INTER DENOMINATIONAL,Girls,No subjects taught through Irish,259,,259
Dublin City Council,70330Q,Coláiste Dhúlaigh,Barryscourt Road,Coolock,Dublin 17,,018481337,Mr Mícheál Mac Conmara,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,166,256,422
Dublin City Council,70340T,Liberties College,Bull Alley Street,Dublin 8,,,014540044,Mr. Michael King,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,532,271,803
Dublin City Council,70342A,Ballyfermot College of Further Education,Ballyfermot Road,Dublin 10,,,016269421,Ms. Maureen Conway ( Acting),INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,752,830,1582
Dublin City Council,76077O,Larkin Community College,Champions Avenue,Dublin 1,,,018741913,Sean Spillane,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,154,272,426
Dublin City Council,76092K,PRESENTATION COLLEGE,TERENURE,DUBLIN 6W,,,014902404,Mr Darrell Darcy,CATHOLIC,Girls,No subjects taught through Irish,297,,297
Dublin City Council,76094O,Coláiste Dhúlaigh College Of Further Education,BARRYCOURT ROAD,COOLOCK,DUBLIN 17,,018481400,Mary Hickie,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,637,722,1359
Dublin City Council,81002K,Mount Temple Comprehensive School,Malahide Road,Dublin 3,,,018336984,MR. LIAM C WEGIMONT,CHURCH OF IRELAND,Mixed,No subjects taught through Irish,397,477,874
Dublin City Council,81017A,TRINITY COMPREHENSIVE SCHOOL,BALLYMUN ROAD,DUBLIN 9,,,018428356,MR. PATRICK D. O'DOWD,CATHOLIC,Mixed,No subjects taught through Irish,244,211,455
Dublin City Council,91318U,The Donahies Community School,Streamville Road,Dublin 13,,,018473522,MISS A NIC GEARAILT,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,232,263,495
Dublin City Council,91344V,Rosmini Community School,Grace Park Road,Drumcondra,Dublin 9,,018371694,MISS PHILOMENA CHERRY,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,83,208,291
Dun Laoghaire Rathdown,60030V,Blackrock College,Blackrock,Co Dublin,,,012888681,MR. ALAN T MAC GINTY,CATHOLIC,Boys,No subjects taught through Irish,,1001,1001
Dun Laoghaire Rathdown,60040B,Willow Park School,Rock Road,Blackrock,Co Dublin,,012881651,Donal Brennan,CATHOLIC,Boys,No subjects taught through Irish,,201,201
Dun Laoghaire Rathdown,60041D,Coláiste Eoin,Baile an Bhóthair,Bóthair Stigh Lorgan,Co Atha Cliath,,012884002,MR. FINÍN MÁIRTÍN,CATHOLIC,Boys,All pupils taught all subjects through Irish,,476,476
Dun Laoghaire Rathdown,60042F,Coláiste Íosagáin,Bóthar Stigh Lorgan,Baile an Bhóthair,Co Átha Cliath,,012884028,MS. FIONA UI HUIGINN,CATHOLIC,Girls,All pupils taught all subjects through Irish,490,,490
Dun Laoghaire Rathdown,60050E,Oatlands College,Mount Merrion,Co Dublin,,,012888533,MR. KEITH RYAN,CATHOLIC,Boys,No subjects taught through Irish,,520,520
Dun Laoghaire Rathdown,60070K,Dominican College,Sion Hill,Blackrock,Co Dublin,,012886791,MISS SHEILA DRUM,CATHOLIC,Girls,No subjects taught through Irish,358,,358
Dun Laoghaire Rathdown,60081P,Rockford Manor Secondary School,Stradbrook Rd,Blackrock,Co Dublin,,012801522,MISS MARY CAFFREY,CATHOLIC,Girls,No subjects taught through Irish,309,,309
Dun Laoghaire Rathdown,60090Q,Rathdown School,Glenageary,Co Dublin,,,012853133,MISS ANNE DOWLING,CHURCH OF IRELAND,Girls,No subjects taught through Irish,322,,322
Dun Laoghaire Rathdown,60092U,Clonkeen College,Clonkeen Road,Blackrock,Co Dublin,,012892709,MR. KEVIN BARRY,CATHOLIC,Boys,No subjects taught through Irish,,514,514
Dun Laoghaire Rathdown,60130C,Loreto Abbey Secondary School,Dalkey,Co Dublin,,,012718900,MR. ROBERT DUNNE,CATHOLIC,Girls,No subjects taught through Irish,605,,605
Dun Laoghaire Rathdown,60140F,Mount Anville Secondary School,Mount Anville Rd,Dublin 14,,,012885313,MRS. PATRICIA MATHEWS,CATHOLIC,Girls,No subjects taught through Irish,637,,637
Dun Laoghaire Rathdown,60160L,Notre Dame Secondary School,Upper Churchtown Road,Dublin 14,,,012989533,MRS. MARY M BRANNIGAN,CATHOLIC,Girls,No subjects taught through Irish,196,,196
Dun Laoghaire Rathdown,60180R,Christian Brothers College,Monkstown Park,Dun Laoghaire,Co Dublin,,012805854,DR. GERARD BERRY,CATHOLIC,Boys,No subjects taught through Irish,,531,531
Dun Laoghaire Rathdown,60240J,Loreto College Foxrock,Foxrock,Dublin 18,,,012895637,MS. NUALA MANNION,CATHOLIC,Girls,No subjects taught through Irish,656,,656
Dun Laoghaire Rathdown,60250M,Holy Child Secondary School,Military Road,Killiney,Co. Dublin,,012823120,MRS. GERARDINE HACKETT,CATHOLIC,Girls,No subjects taught through Irish,325,,325
Dun Laoghaire Rathdown,60260P,St Joseph Of Cluny Secondary School,Bellevue Park,Ballinclea Rd,Killiney,Co Dublin,012855027,MISS MARY G WHITE,CATHOLIC,Girls,No subjects taught through Irish,438,,438
Dun Laoghaire Rathdown,60261R,St Benildus College,Upper Kilmacud Rd,Stillorgan,Blackrock,Co Dublin,012987836,MR. JOHN MULVIHILL,CATHOLIC,Boys,No subjects taught through Irish,,732,732
Dun Laoghaire Rathdown,60262T,St Laurence College,Loughlinstown,Dublin 18,,,012826930,MR. MICHAEL J REDMOND,CATHOLIC,Mixed,No subjects taught through Irish,188,276,464
Dun Laoghaire Rathdown,60310E,Da La Salle College,Upper Churchtown Road,Churchtown,Dublin 14,,012981067,MR. LORCAN BALFE,CATHOLIC,Boys,No subjects taught through Irish,,344,344
Dun Laoghaire Rathdown,60361V,St Raphaela's Secondary School,Upper Kilmacud Road,Stillorgan,Co Dublin,,012888730,Eileen O' Donnell,CATHOLIC,Girls,No subjects taught through Irish,441,,441
Dun Laoghaire Rathdown,60630W,St Kilian's Deutsche Schule,Roebuck Road,Clonskeagh,Dublin 14,,012883323,MISS ALICE LYNCH,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,157,203,360
Dun Laoghaire Rathdown,60650F,St Andrews College,Booterstown Ave,Blackrock,Co Dublin,,012882785,MR. ARTHUR GODSIL,CHURCH OF IRELAND,Mixed,No subjects taught through Irish,486,502,988
Dun Laoghaire Rathdown,60891E,Jesus and Mary College,Our Lady's Grove,Goatstown Road,Dublin 14,,012951913,MS. JOYCE KAVANAGH,CATHOLIC,Girls,No subjects taught through Irish,354,,354
Dun Laoghaire Rathdown,60930L,Rosemont School,Temple Road,Blackrock,Co Dublin,,012833855,MISS MAIRE FARRELL,CATHOLIC,Girls,No subjects taught through Irish,68,,68
Dun Laoghaire Rathdown,61010U,Wesley College,Ballinteer,Dublin 16,,,012987066,MR. CHRISTOPHER WOODS,METHODIST,Mixed,No subjects taught through Irish,416,457,873
Dun Laoghaire Rathdown,70030E,Senior College Dunlaoghaire,Eblana Avenue,Dun Laoghaire,Co Dublin,,012800385,Deirdre Hanamy,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,608,438,1046
Dun Laoghaire Rathdown,70050K,Dun Laoghaire College of,Further Education,Cumberland St,Dun Laoghaire,Co Dublin,012809676,Mr Michael Condren,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,295,540,835
Dun Laoghaire Rathdown,70070Q,College Of Further Education Dundrum,Main Street,Dundrum,Dublin 14,,012985412,Mrs Bridget Blake,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,245,105,350
Dun Laoghaire Rathdown,70090W,Sallynoggin College of Further Education,Pearse Street,Sallynoggin,Co Dublin,,012852997,Mr Fred G Meaney,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,490,194,684
Dun Laoghaire Rathdown,70110C,Stillorgan College of Further Education,Further Education,Old Dublin Rd,Stillorgan,Co Dublin,012880704,Michael Carolan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,106,90,196
Dun Laoghaire Rathdown,81001I,Newpark Comprehensive School,Newtown Park Avenue,Blackrock,Co Dublin,,012883724,MR. DEREK LOWRY,CHURCH OF IRELAND,Mixed,No subjects taught through Irish,351,475,826
Dun Laoghaire Rathdown,91305L,Ballinteer Community School,Ballinteer,Dublin 16,,,012988195,MR. DAVID O'CONNELL,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,143,196,339
Dun Laoghaire Rathdown,91310E,Cabinteely Community School,Cabinteely,Dublin 18,,,012852137,MISS O M BRETT,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,257,263,520
Dun Laoghaire Rathdown,91330K,Holy Child Community School,Pearse St,Sallynoggin,Co Dublin,,012855334,MS. EILEEN MORRIS,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,118,171,289
Dun Laoghaire Rathdown,91343T,St. Tiernan's Community School,Parkvale,Balally,Dublin 16,,012953224,MR. DECLAN HUGHES,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,136,217,353
Fingal County Council,60010P,Loreto Secondary School,Balbriggan,Co Dublin,,,018411594,MR. EDWARD FYNES,CATHOLIC,Girls,No subjects taught through Irish,1224,,1224
Fingal County Council,60021U,St Marys Secondary School,Baldoyle,Dublin 13,,,018325591,MS. SIOBHAN O'CONNELL,CATHOLIC,Girls,No subjects taught through Irish,267,,267
Fingal County Council,60100Q,Castleknock College,Castleknock,Dublin 15,,,018213051,MR. OLIVER MURPHY,CATHOLIC,Boys,No subjects taught through Irish,,563,563
Fingal County Council,60120W,Mount Sackville Secondary School,Chapelizod,Dublin 20,,,018213317,MRS. EILEEN HIGGINS,CATHOLIC,Girls,No subjects taught through Irish,611,,611
Fingal County Council,60343T,St Joseph's Secondary School,Convent Lane,Rush,Co. Dublin,,018437534,MRS. PATRICIA HAYDEN,CATHOLIC,Mixed,No subjects taught through Irish,251,332,583
Fingal County Council,60370W,St. Fintan's High School,Dublin Road,Sutton,Dublin 13,,018324632,MISS MARY FOX,CATHOLIC,Boys,No subjects taught through Irish,,674,674
Fingal County Council,60380C,Santa Sabina Dominican College,Greenfield Road,Sutton,Dublin 13,,018322200,MISS CATHERINE CAVANAGH,CATHOLIC,Girls,No subjects taught through Irish,606,,606
Fingal County Council,60381E,Sutton Park School,St Fintans Road,Sutton,Dublin 13,,018322940,MR. MICHAEL MORETTA,CHURCH OF IRELAND,Mixed,No subjects taught through Irish,101,150,251
Fingal County Council,60383I,Coláiste Choilm,Dublin Road,Swords,Co Dublin,,018401420,MR. DAVID NEVILLE,CATHOLIC,Boys,No subjects taught through Irish,,614,614
Fingal County Council,60810B,Loreto College,Swords,Co Dublin,,,018407025,MRS. V A MCDERMOTT,CATHOLIC,Girls,No subjects taught through Irish,627,,627
Fingal County Council,60852R,Mater Christi,Cappagh,Finglas,Dublin 11,,018343165,Frank Houlihan,CATHOLIC,Girls,No subjects taught through Irish,212,,212
Fingal County Council,70010V,Balbriggan Community College,Pine Ridge,Chapel St.,Balbriggan,Co Dublin,018412388,Pat Halpin,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,132,413,545
Fingal County Council,70081V,Riversdale Community College,Blanchardstown Rd North,Dublin 15,,,018201488,Noel Gildea,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,190,268,458
Fingal County Council,70120F,St Finians Community College,Swords,Co Dublin,,,018402623,Denise Kelly,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,273,333,606
Fingal County Council,70121H,Fingal Community College,Seatown Road,Swords,Co Dublin,,018405829,Mrs Sharon McGrath,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,240,310,550
Fingal County Council,76062B,Castleknock Community College,Carpenterstown Road,Castleknock,Dublin 15,,018221626,John Cronin,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,517,602,1119
Fingal County Council,76078Q,Skerries Community College,Skerries,Co. Dublin,,,018490011,Mr. Kevin O'Riordan,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,362,568,930
Fingal County Council,76085N,Gealcholáiste Reachrann,Bóthar Mhainistir na Gráinsí,Domhnach Míde,Baile Atha Cliath 13,,018770935,Máire Ní Ghealbháin,INTER DENOMINATIONAL,Mixed,All pupils taught all subjects through Irish,153,151,304
Fingal County Council,76098W,Colaiste Pobail Setanta (Phibblestown Community College),Colaiste Pobail Setanta,Phibblestown,Dublin 15,,016402403,Eileen O'Rourke,MULTI DENOMINATIONAL,Mixed,No subjects taught through Irish,182,218,400
Fingal County Council,76104O,Donabate Community College,"Olive Laffoy, Principal",Donabate Community College,Portrane Road,"Donabate, Co. Dublin",018436726,Olive Laffoy,MULTI DENOMINATIONAL,Mixed,No subjects taught through Irish,204,249,453
Fingal County Council,76129H,Ardgillan Community College,Castlelands,Balbriggan,,Co Dublin,019680734,Michael O'Leary,MULTI DENOMINATIONAL,Mixed,No subjects taught through Irish,75,217,292
Fingal County Council,76130P,Luttrellstown Community College,Luttrellstown Community College,C/O Institute of Horology,"Mill Rd, Blanchardstown",Dublin 15,018235262,Fionnuala Ní Chaisil,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,95,136,231
Fingal County Council,91315O,Scoil Phobail Chuil Mhin,Cluain Saileach,Baile Atha Cliath 15,,,018214141,MRS. EILEEN SALMON,INTER DENOMINATIONAL,Mixed,No subjects taught through Irish,485,610,1095
